method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,3836.0640,,0.383722,,17.18,
exit_1,5309.1200,,0.531071,,17.89,
exit_2,6753.6100,,0.675564,,18.25,
exit_3,7916.9720,,0.791935,,18.57,
exit_4,10110.5180,,1.011355,,17.75,
exit_5,9821.7300,,0.982468,,16.95,
exit_6,10662.2970,,1.066550,,16.95,
exit_7,11007.8240,,1.101113,,16.95,
exit_8,11374.7730,,1.137819,,16.98,
exit_9,10659.3810,,1.066258,,17.20,
