method,f1,mcc
exit_0,0.6422,0.0000
exit_1,0.2118,-0.0092
exit_10,0.0000,0.0000
exit_11,0.0000,0.0000
exit_2,0.6422,0.0000
exit_3,0.0000,0.0000
exit_4,0.0000,0.0000
exit_5,0.0294,-0.0198
exit_6,0.6000,0.0786
exit_7,0.0000,0.0000
exit_8,0.6422,0.0000
exit_9,0.6334,-0.0318
