method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.000000,,0.000000,,0.000000,,0.000
exit_1,0.000000,,0.000000,,0.000000,,0.000000,,0.000
exit_2,0.000000,,0.000000,,0.000000,,0.000000,,0.000
exit_3,0.000000,,0.000000,,0.000000,,0.000000,,0.000
exit_4,0.000000,,0.000000,,0.000000,,0.000000,,0.000
exit_5,0.000000,,0.000000,,0.000000,,0.000000,,0.000
exit_6,0.000000,,0.000000,,0.000000,,0.000000,,0.000
