method,f1,mcc
exit_0,0.3261,0.0000
exit_1,0.4784,-0.0013
exit_10,0.4079,0.0040
exit_11,0.2917,0.0263
exit_2,0.3579,-0.0071
exit_3,0.2174,-0.0023
exit_4,0.0220,0.0004
exit_5,0.2456,0.0017
exit_6,0.3999,0.0147
exit_7,0.3031,-0.0053
exit_8,0.1190,-0.0106
exit_9,0.2878,-0.0191
