method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,9722.5830,,1.215779,,48.33,
exit_1,10943.8170,,1.368490,,48.38,
exit_2,12062.2840,,1.508351,,48.43,
exit_3,12918.5570,,1.615425,,48.45,
exit_4,13691.9330,,1.712134,,48.47,
exit_5,14521.3740,,1.815853,,48.48,
exit_6,15110.5850,,1.889532,,48.51,
exit_7,15574.9640,,1.947601,,48.51,
exit_8,15869.3580,,1.984414,,48.52,
exit_9,16131.7600,,2.017226,,48.52,
