method,f1,top1_acc,top5_acc
exit_0,0.0002,0.0100,0.0497
exit_1,0.0002,0.0082,0.0524
exit_2,0.0007,0.0111,0.0489
exit_3,0.0002,0.0100,0.0474
exit_4,0.0004,0.0094,0.0516
exit_5,0.0002,0.0100,0.0500
exit_6,0.0003,0.0090,0.0500
exit_7,0.0004,0.0090,0.0500
exit_8,0.0002,0.0100,0.0500
exit_9,0.0002,0.0100,0.0500
