method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,12015.8550,,1.201946,,48.48,
exit_1,13444.0850,,1.344812,,48.57,
exit_2,14780.8370,,1.478527,,48.59,
exit_3,15948.3940,,1.595318,,48.62,
exit_4,16835.1300,,1.684018,,48.61,
exit_5,17722.3300,,1.772765,,48.66,
exit_6,18505.3470,,1.851090,,48.68,
exit_7,19207.8330,,1.921360,,48.66,
exit_8,19333.2130,,1.933901,,48.75,
exit_9,19522.5980,,1.952846,,48.73,
