method,forward_sec_mean,delta_forward_pct,ttft_sec_mean,delta_ttft_pct,end_to_end_sec_mean,delta_e2e_pct,per_sample_sec_mean,delta_per_sample_pct,throughput_samples_per_sec
exit_0,0.000000,,0.020859,,0.020859,,0.020859,,40.213
exit_1,0.000000,,0.023680,,0.023680,,0.023680,,36.022
exit_2,0.000000,,0.026402,,0.026402,,0.026402,,32.786
exit_3,0.000000,,0.028661,,0.028661,,0.028661,,30.410
exit_4,0.000000,,0.030431,,0.030431,,0.030431,,28.800
exit_5,0.000000,,0.032245,,0.032245,,0.032245,,27.385
exit_6,0.000000,,0.033814,,0.033814,,0.033814,,26.239
exit_7,0.000000,,0.035174,,0.035174,,0.035174,,25.274
exit_8,0.000000,,0.035506,,0.035506,,0.035506,,25.198
exit_9,0.000000,,0.035916,,0.035916,,0.035916,,24.947
