loss,grad_norm,learning_rate,loss_exit_8,loss_exit_16,loss_exit_24,loss_base_final,loss_total,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
274.213623046875,63.114925384521484,9.870503597122303e-05,12.274576187133789,10.160234451293945,7.1045613288879395,2.96875,17.206621170043945,0.014396256973186972,10,,,,,,,,,
235.252294921875,57.85820388793945,9.726618705035971e-05,9.847042083740234,7.841267108917236,5.654261589050293,2.890625,13.586264610290527,0.028792513946373943,20,,,,,,,,,
207.3193115234375,53.03572082519531,9.58273381294964e-05,8.688056945800781,6.928534984588623,5.126919269561768,2.6875,12.089993476867676,0.043188770919560915,30,,,,,,,,,
189.10318603515626,46.72930145263672,9.438848920863311e-05,7.814578056335449,6.020702838897705,4.407550811767578,2.1875,10.604995727539062,0.057585027892747886,40,,,,,,,,,
175.65244140625,37.50606155395508,9.294964028776979e-05,7.535881519317627,5.843810081481934,4.254876613616943,2.125,10.252640724182129,0.07198128486593486,50,,,,,,,,,
165.4785888671875,28.720869064331055,9.151079136690648e-05,7.205473899841309,5.689327716827393,4.291341781616211,2.515625,10.020273208618164,0.08637754183912183,60,,,,,,,,,
160.8257080078125,22.691577911376953,9.007194244604316e-05,7.021280288696289,5.648756504058838,4.252579212188721,2.578125,9.876699447631836,0.1007737988123088,70,,,,,,,,,
155.941748046875,18.4527530670166,8.863309352517986e-05,6.840395450592041,5.176748275756836,3.8045897483825684,2.1875,9.189459800720215,0.11517005578549577,80,,,,,,,,,
150.45274658203124,18.410831451416016,8.719424460431656e-05,6.769840240478516,5.358104705810547,4.21907901763916,2.578125,9.553138732910156,0.12956631275868274,90,,,,,,,,,
150.14600830078126,18.064342498779297,8.575539568345324e-05,7.820504665374756,6.318109035491943,4.8386640548706055,2.296875,11.08818244934082,0.14396256973186972,100,,,,,,,,,
148.0426513671875,16.043399810791016,8.431654676258993e-05,6.4886155128479,5.26008415222168,4.059963703155518,2.8125,9.242332458496094,0.1583588267050567,110,,,,,,,,,
143.1645263671875,15.50859260559082,8.287769784172662e-05,6.409852981567383,5.312021732330322,4.251070499420166,2.390625,9.367888450622559,0.17275508367824366,120,,,,,,,,,
141.8311279296875,14.793668746948242,8.143884892086331e-05,6.0512590408325195,4.9003753662109375,3.700509786605835,2.46875,8.556211471557617,0.18715134065143063,130,,,,,,,,,
138.77939453125,15.340344429016113,8e-05,5.63688850402832,4.362202167510986,3.221510171890259,2.09375,7.690822601318359,0.2015475976246176,140,,,,,,,,,
139.4997314453125,14.73572063446045,7.856115107913669e-05,6.045721054077148,4.925682067871094,3.9867703914642334,1.9609375,8.76900863647461,0.21594385459780457,150,,,,,,,,,
137.90333251953126,14.794203758239746,7.712230215827339e-05,5.949275493621826,4.788801193237305,3.687617540359497,2.40625,8.429250717163086,0.23034011157099155,160,,,,,,,,,
136.4503173828125,15.12431812286377,7.568345323741007e-05,5.786468505859375,4.568540096282959,3.4208545684814453,2.25,8.028956413269043,0.24473636854417852,170,,,,,,,,,
134.393701171875,17.170272827148438,7.424460431654676e-05,5.695685386657715,4.252792835235596,3.092585563659668,2.015625,7.564328193664551,0.2591326255173655,180,,,,,,,,,
