method,f1,top1_acc,top5_acc
exit_0,0.0231,0.1135,0.5187
exit_1,0.0192,0.1028,0.4946
exit_2,0.0176,0.0982,0.4902
exit_3,0.0231,0.1135,0.5044
exit_4,0.0193,0.1032,0.5048
exit_5,0.0192,0.1028,0.5007
exit_6,0.0185,0.1009,0.4955
exit_7,0.0168,0.0958,0.4851
exit_8,0.0168,0.0958,0.5109
exit_9,0.0192,0.1028,0.5023
