method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,3759.2890,,0.376042,,17.11,
exit_1,5379.3490,,0.538096,,17.90,
exit_2,6781.5670,,0.678360,,18.27,
exit_3,7930.3790,,0.793276,,18.49,
exit_4,8865.5080,,0.886817,,18.66,
exit_5,9755.9140,,0.975884,,18.77,
exit_6,10747.2790,,1.075050,,18.95,
exit_7,11206.2270,,1.120959,,19.06,
exit_8,11527.1740,,1.153063,,19.12,
exit_9,11753.1020,,1.175663,,19.00,
