method,total_energy_j,delta_energy_j,delta_energy_pct,joules_per_token,delta_jpt,delta_jpt_pct,avg_power_w,delta_power_w,avg_vram_gb,avg_gpu_mem_util_pct,avg_ram_gb,avg_cpu_pct,avg_gpu_util_pct,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_8,25518.4297,-26183.6111,-50.64,2.013606,-2.681031,-57.11,149.39,36.93,26.710,27.44,2.570,97.05,38.89,,
exit_16,48078.0915,-3623.9493,-7.01,3.793742,-0.900895,-19.19,155.34,42.88,26.710,29.16,2.570,98.69,40.85,,
exit_24,70469.6054,18767.5646,36.30,5.560610,0.865973,18.45,156.60,44.14,26.710,29.75,2.570,99.15,41.53,,
base,88167.5955,36465.5547,70.53,6.957121,2.262484,48.19,154.95,42.49,26.710,29.16,2.580,99.32,41.12,,
dynamic_ee,88155.1862,36453.1454,70.51,6.956142,2.261505,48.17,154.66,42.20,26.710,29.13,2.580,97.09,41.09,,
baseline,51702.0408,0.0000,0.00,4.694637,0.000000,0.00,112.46,0.00,26.710,22.46,2.650,100.58,39.40,,
