method,rouge2_f1,delta_rouge2,delta_rouge2_pct,rougeL_f1,delta_rougeL,delta_rougeL_pct,perplexity,accuracy
exit_8,0.0000,-0.0347,-100.00,0.0013,-0.1099,-98.83,242.29,0.2108
exit_16,0.0000,-0.0347,-100.00,0.0013,-0.1099,-98.83,78.37,0.2910
exit_24,0.0000,-0.0347,-100.00,0.0013,-0.1099,-98.83,28.63,0.3993
base,0.0005,-0.0342,-98.56,0.0330,-0.0782,-70.32,9.39,0.5150
dynamic_ee,0.0005,-0.0342,-98.56,0.0330,-0.0782,-70.32,,
baseline,0.0347,0.0000,0.00,0.1112,0.0000,0.00,,
