method,avg_ttft_s,delta_ttft_s,delta_ttft_pct,avg_e2e_s,delta_e2e_s,delta_e2e_pct,avg_per_tok_s,delta_per_tok_s,delta_per_tok_pct,avg_tok_per_s,delta_tok_per_s,delta_tok_per_s_pct
exit_8,0.042580,0.000492,1.17,1.759803,-2.848014,-61.81,0.013558,-0.028530,-67.79,73.757,49.997,210.43
exit_16,0.042371,0.000283,0.67,3.149297,-1.458520,-31.65,0.024480,-0.017608,-41.84,40.850,17.090,71.93
exit_24,0.042371,0.000283,0.67,4.553479,-0.054338,-1.18,0.035516,-0.006572,-15.61,28.156,4.397,18.50
base,0.042488,0.000400,0.95,5.749820,1.142003,24.78,0.044913,0.002825,6.71,22.265,-1.494,-6.29
dynamic_ee,0.042349,0.000261,0.62,5.757534,1.149717,24.95,0.044968,0.002880,6.84,22.238,-1.522,-6.40
baseline,0.042088,0.000000,0.00,4.607817,0.000000,0.00,0.042088,0.000000,0.00,23.760,0.000,0.00
