method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,4355.5780,,0.435689,,50.07,
exit_1,5311.1970,,0.531279,,50.12,
exit_2,6305.6680,,0.630756,,50.11,
exit_3,7237.8680,,0.724004,,50.04,
exit_4,7805.4040,,0.780775,,49.88,
exit_5,8394.6970,,0.839722,,49.84,
exit_6,9101.2140,,0.910395,,49.79,
exit_7,9475.8570,,0.947870,,49.80,
exit_8,9815.6460,,0.981859,,49.80,
exit_9,10260.3750,,1.026345,,49.77,
