method,avg_vram_allocated_mb,avg_ram_used_mb,avg_cpu_cores_used,avg_proc_gpu_util_pct,avg_proc_gpu_mem_util_pct,avg_power_w,avg_gpu_sm_clock_mhz,avg_gpu_mem_clock_mhz
exit_0,2417.3,3580.1,1.002,10.18,0.03,50.07,1098,1215
exit_1,2417.3,3607.4,1.002,11.96,0.00,50.12,1099,1215
exit_2,2417.3,3634.9,1.002,13.18,0.00,50.11,1098,1215
exit_3,2417.3,3658.5,1.002,13.82,0.00,50.04,1098,1215
exit_4,2417.3,3726.9,1.002,14.10,0.03,49.88,1095,1215
exit_5,2417.3,3739.9,1.002,14.55,0.00,49.84,1095,1215
exit_6,2417.3,3753.2,1.002,14.65,0.00,49.79,1095,1215
exit_7,2417.3,3759.8,1.002,14.72,0.00,49.80,1095,1215
exit_8,2417.3,3788.8,1.002,14.93,0.00,49.80,1095,1215
exit_9,2417.3,3803.6,1.002,14.85,0.00,49.77,1095,1215
