method,f1,top1_acc,top5_acc
exit_0,0.0182,0.1000,0.5029
exit_1,0.0182,0.1000,0.5000
exit_2,0.0182,0.1000,0.4976
exit_3,0.0182,0.1000,0.5000
exit_4,0.0182,0.0998,0.5000
exit_5,0.0182,0.1000,0.5000
exit_6,0.0182,0.1000,0.5000
exit_7,0.0182,0.1000,0.5000
exit_8,0.0182,0.1000,0.5000
exit_9,0.0182,0.1000,0.5000
