method,f1,mcc
exit_0,0.7823,-0.0249
exit_1,0.2286,-0.0074
exit_10,0.8175,0.0000
exit_11,0.0000,0.0000
exit_2,0.7608,0.0039
exit_3,0.0000,0.0000
exit_4,0.0055,0.0293
exit_5,0.0000,0.0000
exit_6,0.0000,0.0000
exit_7,0.8175,0.0000
exit_8,0.0533,-0.0092
exit_9,0.0000,0.0000
