method,f1,top1_acc,top5_acc
exit_0,0.0143,0.0812,0.4278
exit_1,0.0141,0.0815,0.4221
exit_2,0.0133,0.0783,0.4317
exit_3,0.0148,0.0835,0.4138
exit_4,0.0160,0.0873,0.4333
exit_5,0.0230,0.1014,0.4237
exit_6,0.0195,0.0950,0.4213
exit_7,0.0226,0.1003,0.4354
exit_8,0.0148,0.0838,0.4479
exit_9,0.0141,0.0815,0.4020
