method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,13552.6737,,1.079688,,48.65,
exit_1,15208.7560,,1.213539,,48.72,
exit_2,16728.2055,,1.335076,,48.76,
exit_3,18122.5663,,1.447069,,48.78,
exit_4,19185.6340,,1.532308,,48.75,
exit_5,20134.3917,,1.609743,,48.78,
exit_6,21344.0890,,1.704743,,48.77,
exit_7,21865.3825,,1.750736,,48.76,
exit_8,22286.2538,,1.780946,,48.72,
exit_9,22657.6370,,1.811931,,48.76,
