method,perplexity
exit_0,175534843625472.0000
exit_1,871798720.0000
exit_10,9205.1523
exit_11,3617.1697
exit_12,1202.9799
exit_13,293.7628
exit_14,40.4705
exit_15,13.3232
exit_2,8096924.0000
exit_3,556237.4375
exit_4,191355.8438
exit_5,146759.3125
exit_6,145479.6719
exit_7,133293.2969
exit_8,107339.9766
exit_9,22354.6055
