method,f1,top1_acc,top5_acc
exit_0,0.0076,0.0638,0.4954
exit_1,0.0107,0.0759,0.4909
exit_2,0.0074,0.0613,0.5564
exit_3,0.0112,0.0776,0.4281
exit_4,0.0221,0.1107,0.5448
exit_5,0.0642,0.1959,0.4917
exit_6,0.0438,0.1594,0.4825
exit_7,0.0642,0.1959,0.5776
exit_8,0.0171,0.0969,0.6267
exit_9,0.0107,0.0759,0.3596
