method,total_energy_j,delta_energy_pct,joules_per_sample,delta_jps_pct,avg_power_w,delta_power_w
exit_0,30824.5850,,1.184240,,48.49,
exit_1,34417.9990,,1.322294,,48.58,
exit_2,37837.8710,,1.453681,,48.64,
exit_3,40862.1500,,1.569870,,48.62,
exit_4,43230.9450,,1.660876,,48.60,
exit_5,45269.0410,,1.739177,,48.68,
exit_6,48040.7690,,1.845663,,48.59,
exit_7,48828.5260,,1.875928,,48.59,
exit_8,50105.9190,,1.925004,,48.45,
exit_9,50812.7320,,1.952158,,48.60,
